Feature ID	Taxon	Consensus
00fd368abd0d2af0b50a4bf47aa2231497c18ec8	d__Bacteria; p__Zixibacteria; c__Zixibacteria; o__Zixibacteria; f__Zixibacteria; g__Zixibacteria; s__uncultured_bacterium	0.8
0100b6d3d2071ccce05c41635a714e54237b76be	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Ramlibacter	0.7
0102c88984ddc55a998c914a2231c05a7e791ba6	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Pedosphaerales; f__Pedosphaeraceae; g__ADurb.Bin063-1; s__uncultured_bacterium	0.6
0102f792f1c9d32a77bef3b688c10ed98d21d702	d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae; g__Gaiella; s__uncultured_bacterium	0.7
0105ffd9df339daaef881f0600197d2670d0dac3	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Chthoniobacterales; f__Chthoniobacteraceae; g__Chthoniobacter; s__uncultured_bacterium	0.7
0106893fe7018dcdae35b4906d854c93fa6b6784	d__Bacteria	1.0
010a91bedb8cd75a89b27a4a9cfe0b7142f29c84	d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__uncultured; s__uncultured_bacterium	0.7
010d7faa2c2dac28119230ef65ff3c04b4536ce6	d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales; f__Anaeromyxobacteraceae; g__Anaeromyxobacter; s__uncultured_bacterium	0.7
010e593fe6c0ab50896f8c329af55afaff8da3fb	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Microvirga	0.8
0110ac6fd0e4238c6c0b4888aca60ec2212245c6	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Elsterales; f__uncultured; g__uncultured; s__uncultured_bacterium	0.9
011b06d8e656816187df078e4f4b8ce14a11c187	d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Solirubrobacterales; f__67-14; g__67-14; s__uncultured_bacterium	1.0
011fcc1c82f5a24510b0ae76e5c8d8e0b6a75fcb	d__Bacteria; p__Entotheonellaeota; c__Entotheonellia; o__Entotheonellales; f__Entotheonellaceae; g__Entotheonellaceae; s__uncultured_bacterium	0.8
012415d162fee9c3763dfffd90728cb103680864	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Hyphomonadaceae; g__SWB02; s__uncultured_bacterium	0.8
012536c16afcca3bb86da256b5f5982b07a6c2fa	d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Anaerovoracaceae; g__Anaerovorax; s__uncultured_bacterium	0.9
01259b85fd02e1c2212600d98b1ba21dddf3abdb	d__Bacteria; p__Myxococcota; c__Polyangia; o__Haliangiales; f__Haliangiaceae; g__Haliangium; s__uncultured_bacterium	0.6
0125b5845e5d4fb0dbf6fa24844abd5c3df7ec1f	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae	0.9
0126be903333db00427fa431ef99f0a87f4311f7	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Pelomonas	0.7
012c22c3fcde1d5f86251ffa63b728f32410569c	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Chromobacteriaceae; g__Pseudogulbenkiania	0.7
01317105cdfdd4b025149bf4ba0fd42f7a9ffe36	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__KF-JG30-C25; f__KF-JG30-C25; g__KF-JG30-C25; s__uncultured_bacterium	0.6
013289fdccd67cc7a284999abdb972d769f407fa	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiales_Incertae_Sedis; g__Nordella; s__uncultured_bacterium	0.6
013515e761750cbe17fe1f617d3e1cdeeaeef5d3	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Rhodocyclaceae; g__Dechloromonas	0.7
