# Constructed from biom file
#OTU ID	MB1	IM2	MM2	MB2	NEB1	IB2	NEM2	IM1	MM1	NEM1	NLB1	IB1	NLB2	NEE2	NLM2	IE2	NLM1	NLE2	IE1	NEB2	NLE1	ME2	ME1	NEE1
7d51d1ef1a5133c7d492440aa11d8e7ed5983b9c	6.0	21.0	3.0	14.0	9.0	23.0	5.0	13.0	3.0	2.0	5.0	11.0	14.0	6.0	1.0	6.0	2.0	9.0	5.0	13.0	6.0	7.0	5.0	12.0
474f62eda950efb205576d82c78a75c24a6a6571	3.0	5.0	0.0	7.0	24.0	1.0	2.0	1.0	1.0	5.0	14.0	9.0	9.0	12.0	5.0	5.0	3.0	13.0	1.0	19.0	9.0	6.0	3.0	36.0
62f7280b0828a4633ca0225408fb0a4486c29c7a	2.0	17.0	3.0	6.0	1.0	21.0	0.0	10.0	0.0	1.0	9.0	22.0	3.0	1.0	4.0	12.0	0.0	5.0	1.0	3.0	6.0	0.0	1.0	0.0
e9e0029e8da96c9816ae7588242726afbe016fbb	4.0	9.0	0.0	2.0	38.0	9.0	16.0	7.0	2.0	28.0	7.0	5.0	5.0	34.0	6.0	4.0	0.0	2.0	4.0	38.0	1.0	1.0	1.0	26.0
f2fd937cd1378e940aff36efce290fed90a89e06	0.0	3.0	0.0	0.0	2.0	7.0	1.0	3.0	1.0	0.0	9.0	49.0	17.0	0.0	11.0	0.0	3.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0
abbe18418bd0739d0d04bbb4514da38426c6b4e4	5.0	3.0	1.0	14.0	0.0	7.0	0.0	1.0	0.0	1.0	9.0	8.0	3.0	7.0	2.0	6.0	1.0	14.0	3.0	1.0	5.0	18.0	15.0	0.0
7df5bfd03d3833ee20b40b6a29a3b7063a5d47ea	1.0	2.0	1.0	4.0	5.0	2.0	1.0	3.0	0.0	0.0	5.0	1.0	3.0	18.0	0.0	3.0	1.0	6.0	1.0	7.0	4.0	4.0	5.0	9.0
2d7c027a022d1f8762af6a0ecaf6d25dc9425489	0.0	0.0	1.0	0.0	7.0	6.0	16.0	1.0	0.0	18.0	3.0	4.0	6.0	2.0	1.0	4.0	0.0	0.0	1.0	7.0	0.0	0.0	0.0	4.0
e4c1184971c7c8798ba5c552c8bd5b4780c47dfa	7.0	13.0	1.0	15.0	2.0	19.0	0.0	9.0	2.0	0.0	8.0	7.0	10.0	0.0	16.0	10.0	8.0	7.0	3.0	0.0	11.0	8.0	3.0	0.0
0bd53276111d0ddefd982bf4d7f4943e1efaae68	1.0	30.0	7.0	0.0	0.0	0.0	6.0	9.0	10.0	7.0	0.0	0.0	0.0	0.0	8.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6dd926e8fd60b59784de6a5f55c388f59d727c2b	1.0	0.0	0.0	1.0	10.0	1.0	4.0	0.0	0.0	2.0	0.0	0.0	3.0	16.0	0.0	2.0	0.0	0.0	0.0	13.0	1.0	2.0	1.0	13.0
5b9d9e050a374ef7b938eef71d1ee94339da1ac0	2.0	0.0	0.0	3.0	16.0	2.0	1.0	1.0	0.0	2.0	1.0	0.0	0.0	21.0	1.0	3.0	0.0	1.0	2.0	6.0	1.0	1.0	1.0	24.0
51d2e51ead289c53111d0083dfd3ffdaf4504882	0.0	0.0	1.0	1.0	0.0	3.0	0.0	3.0	1.0	0.0	1.0	0.0	0.0	7.0	0.0	16.0	0.0	30.0	4.0	0.0	16.0	21.0	17.0	2.0
3de4cdb7d2b5b26fdc84af81418fb40dbd1372da	6.0	2.0	49.0	4.0	0.0	0.0	6.0	0.0	2.0	15.0	1.0	1.0	1.0	1.0	2.0	2.0	13.0	0.0	0.0	0.0	1.0	0.0	1.0	7.0
d484b3af507ad225d25d9b3d10039f1d9218326d	0.0	11.0	1.0	2.0	3.0	1.0	1.0	8.0	4.0	10.0	1.0	1.0	1.0	0.0	4.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
b381926cfdd9f3177c558ef33bb0a4a4a95ec841	0.0	2.0	1.0	0.0	1.0	39.0	0.0	3.0	0.0	1.0	5.0	4.0	3.0	1.0	1.0	14.0	0.0	14.0	12.0	2.0	2.0	0.0	1.0	2.0
e46f04b060ed6cb999adeeac11874347217a696b	10.0	0.0	43.0	2.0	1.0	0.0	6.0	1.0	0.0	4.0	0.0	1.0	1.0	0.0	2.0	1.0	2.0	0.0	1.0	0.0	2.0	0.0	0.0	3.0
0b43edef2a1a1df85a259042a99539476660ec86	6.0	9.0	0.0	8.0	12.0	15.0	1.0	5.0	2.0	2.0	6.0	7.0	6.0	7.0	4.0	1.0	1.0	3.0	2.0	7.0	0.0	4.0	1.0	8.0
ad0f5a1d4951134561523960121db95fe63e7ba4	14.0	3.0	5.0	17.0	3.0	16.0	0.0	8.0	1.0	0.0	4.0	11.0	4.0	2.0	5.0	1.0	0.0	1.0	0.0	0.0	0.0	5.0	0.0	5.0
2a0a2d303132749099f15987b2f589fb0448b506	2.0	1.0	0.0	1.0	12.0	0.0	0.0	0.0	0.0	17.0	1.0	0.0	1.0	38.0	0.0	0.0	0.0	0.0	0.0	30.0	1.0	1.0	3.0	32.0
324714442628349377b5cf639086b33d7e28f3a2	3.0	0.0	1.0	1.0	15.0	1.0	3.0	0.0	0.0	3.0	0.0	0.0	0.0	26.0	1.0	0.0	0.0	0.0	0.0	20.0	1.0	1.0	0.0	31.0
1b68af4a16b5fe53339ef4b75934d8ec197f6799	11.0	7.0	1.0	5.0	3.0	8.0	0.0	2.0	1.0	2.0	6.0	7.0	13.0	1.0	5.0	1.0	1.0	2.0	2.0	1.0	3.0	1.0	0.0	5.0
9c7b747196bd6320a1538da62566cf9c94ca93c9	21.0	6.0	2.0	1.0	0.0	11.0	0.0	6.0	0.0	0.0	7.0	12.0	2.0	0.0	4.0	3.0	3.0	2.0	0.0	0.0	3.0	0.0	15.0	0.0
d4f8e5096e0bc55835c946ef522b6d7b1e65f6bb	4.0	11.0	0.0	2.0	5.0	9.0	4.0	6.0	1.0	6.0	0.0	6.0	2.0	2.0	5.0	4.0	1.0	0.0	0.0	11.0	1.0	1.0	2.0	3.0
ffe23f1540b5b67b52995e888373f3bcfb150450	3.0	6.0	1.0	11.0	0.0	3.0	0.0	3.0	1.0	2.0	1.0	3.0	7.0	0.0	2.0	19.0	0.0	6.0	1.0	0.0	7.0	12.0	5.0	2.0
490b1614d8e0c137dcbf15c41f22423bef08b3f5	0.0	14.0	7.0	0.0	0.0	0.0	8.0	14.0	9.0	9.0	1.0	0.0	0.0	0.0	15.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
