"","logFC","logCPM","LR","PValue","FDR"
"Bra027909",0.116053463506063,5.30822770624754,0.663040915295111,0.415488434180968,0.512646903183191
"Bra004977",0.271456513342349,1.82474082925553,0.662783871535498,0.41557884896877,0.512732138404282
"Bra000454",-0.138529336750182,7.1943689278382,0.662682179177487,0.415614627164009,0.51274995889635
"Bra012850",0.135313083493183,5.67510701357113,0.662148650677955,0.415802412124915,0.512949652825486
"Bra023926",0.114168917852055,4.83194351535443,0.662101037883641,0.415819176416699,0.512949652825486
"Bra012725",-0.162173584023698,4.70278955706536,0.661961769498483,0.415868218060486,0.51296100875598
"Bra019657",0.217512049022635,2.2657612575577,0.661953676130838,0.415871068303664,0.51296100875598
"Bra023116",0.138237378191679,4.04411018015035,0.661639199919507,0.415981839892779,0.513071309657346
"Bra022223",0.165885667695201,3.22389081324013,0.66012693502459,0.416515134021211,0.51370271109282
"Bra026931",-0.192287446460153,3.24519592661034,0.659980853931327,0.41656670263963,0.513739949263181
"Bra020895",-0.229438230649672,2.16428442079706,0.659550094650442,0.416718821713724,0.513901183286348
"Bra039953",0.13446116650398,5.27723868629937,0.659198176023276,0.416843160063403,0.51402814309717
"Bra015422",0.262871860679784,3.02968307236958,0.65888617682393,0.416953440316835,0.514137755095932
"Bra017674",-0.14962408925444,7.62790522094861,0.658642240607701,0.417039692982054,0.51420076934984
"Bra028531",-0.136555202434763,7.28495916790355,0.658620637552836,0.417047332817526,0.51420076934984
"Bra025872",0.178412900600415,3.01853683019705,0.658346400356558,0.417144333791633,0.514293983705145
"Bra031345",-0.121318081088196,5.78853797282054,0.657813092380249,0.417333067161968,0.514500278849487
"Bra026511",0.257748203864314,1.91919511693595,0.657539541797558,0.417429923716182,0.514593290243882
"Bra020154",-0.132711196589078,6.59947418120319,0.657218550129351,0.417543620415301,0.514707050985349
"Bra037968",-0.47234165772826,1.35586318421187,0.657061308729768,0.417599332821619,0.514749326342948
"Bra005954",-0.236083573236552,2.45480188055121,0.656919870159435,0.417649455544577,0.514784707654668
"Bra005070",-0.428217563007728,3.72910605455549,0.656359150191989,0.417848250399417,0.515003325646132
"Bra018036",0.115582027917665,6.15350698655307,0.65615515002809,0.417920610494796,0.515056094750819
"Bra040162",-0.1417902264484,5.22614489688346,0.656117618271496,0.417933925265477,0.515056094750819
"Bra027350",-0.397299167350612,7.2547611673483,0.656023436872346,0.417967339847659,0.51507086324661
"Bra023754",0.349052037329234,1.10545732695811,0.655776520454685,0.418054962088833,0.515152428160532
"Bra029068",0.1192077065224,5.61049953018577,0.655573765890573,0.418126933215088,0.51521469945611
"Bra028128",-0.271459060483896,1.36142745486525,0.655509965811222,0.41814958393245,0.515216195028837
"Bra026315",0.29994508350781,1.34369900370796,0.655168542208145,0.418270829371556,0.515339166100168
"Bra007193",0.229903251807124,1.97583781502227,0.654699327293173,0.418437541056814,0.515518139315125
"Bra035551",0.11493769068921,5.86360695140156,0.654514718806978,0.418503159404359,0.515551934691258
"Bra023563",0.153924125737028,5.19977173273013,0.654501456331088,0.418507874087811,0.515551934691258
"Bra018963",-0.140001884274729,4.48872621919073,0.654218636800008,0.418608432545017,0.515636850858832
"Bra038267",-0.192642945552367,4.15362448346355,0.654125227835248,0.418641652653143,0.515636850858832
"Bra036714",-0.146460404524229,7.51953855496933,0.654121554354558,0.418642959175656,0.515636850858832
"Bra016537",0.265510976694266,1.46229525607647,0.654066265576557,0.418662624101658,0.515636850858832
"Bra008838",-0.124767465874797,6.55504981002227,0.653822269362019,0.418749424275588,0.515717328364821
"Bra016098",-0.215314182319793,2.33283180652434,0.653727994757335,0.418782969068998,0.515732213496838
"Bra007580",-0.147148844095055,4.42873999283761,0.653383633221384,0.418905533802415,0.515856719752382
"Bra040326",0.160136288740263,3.56888234127465,0.653076007872101,0.419015068606529,0.515965168505447
"Bra006347",-0.124293484579312,5.8610671223897,0.652711828759028,0.419144795399479,0.516098468806347
"Bra034892",-0.155425070122905,3.22336870365591,0.65247225152308,0.419230169506006,0.516177146204269
"Bra001160",-0.194863094457541,2.98770575523719,0.652346664146964,0.419274933313108,0.516205816671648
"Bra012744",-0.185429786896383,2.47609929213093,0.65190292250935,0.419433155652634,0.516374165708196
"Bra005041",-0.153925366230592,3.31360638469943,0.651830027367211,0.419459155950516,0.516379724126143
"Bra036072",-0.19490017613532,2.42587932544989,0.65175025892811,0.419487610573425,0.516388303243275
"Bra002710",-0.160188077071541,7.69331137975215,0.651592045976766,0.419544056064808,0.516431336412886
"Bra029172",-0.406887236847261,7.77888346732521,0.651472977258216,0.419586543568264,0.51645718468297
"Bra004003",0.118635285018827,5.50066677489659,0.650981598577576,0.419761950957267,0.51664662924704
"Bra033365",-0.255287147305354,3.47208448439354,0.650067377688908,0.420088591302196,0.517022183703246
"Bra003426",-0.304719248037176,1.59944079294078,0.64951698661568,0.420285422367101,0.517237945679292
"Bra036256",-0.129494636790484,5.43538359405696,0.649189090110277,0.420402750240828,0.517355847377781
"Bra002457",0.260902174024631,1.71819573205913,0.649098977786805,0.420435002777896,0.517369046990115
"Bra038281",0.145112319441871,6.85342749551218,0.648937565041543,0.420492784023847,0.517413658162459
"Bra013551",0.293073850715793,1.40417600887547,0.648875127898291,0.420515137952298,0.517414673913149
"Bra025900",-0.201137510440024,2.96455106577627,0.647660175241039,0.420950472154076,0.517923807092816
