"","logFC","logCPM","LR","PValue","FDR"
"Bra013340",-2.19306460088053,4.69107214536089,35.8735837416985,2.10544019608378e-09,2.40962617488941e-06
"Bra038908",7.38617185202977,5.72907816040469,35.613913695909,2.40563158661472e-09,2.62804316148628e-06
"Bra002896",2.37139688421707,4.53849023166732,35.0034292619168,3.29125176817466e-09,3.31025983460705e-06
"Bra018722",-2.53217032749552,3.95536758958489,34.9949726143494,3.30557693395062e-09,3.31025983460705e-06
"Bra010292",3.65790718247461,6.41813022771103,34.6545462002542,3.93718020805142e-09,3.67612927211513e-06
"Bra027181",2.65004687655214,8.22483073437852,34.6350354924629,3.97683952213503e-09,3.67612927211513e-06
"Bra021913",-3.91893592636724,2.47952406654242,34.5187102048262,4.22173666177271e-09,3.75797107144612e-06
"Bra011195",2.16132154153521,5.18901138650668,34.2334534465216,4.88813958929762e-09,4.19576953175639e-06
"Bra007907_Bra007908_Bra007909",-2.52481382800122,4.62114623472804,33.9141885741026,5.75971272002545e-09,4.77341156941696e-06
"Bra027700",-3.10943638644236,3.11579303755531,33.3858702362476,7.55710252201244e-09,6.05424673380156e-06
"Bra036607",-3.35754580893558,4.35434931314151,33.246050970914,8.12044950247868e-09,6.29570591427653e-06
"Bra002515",-3.89196462913255,3.61540609629203,32.9410850256997,9.49943551602718e-09,7.13466978725617e-06
"Bra031658",2.88174077667246,3.44269233586962,32.4970914601831,1.19371049244653e-08,8.69382968953334e-06
"Bra005070",-3.35834618397337,3.72910605455549,31.9388420607517,1.59103658233001e-08,1.12467568293292e-05
"Bra035502",2.69576891131197,6.38909313522988,31.8618250179172,1.65538805274505e-08,1.13673132741927e-05
"Bra004892",1.7861260227999,6.83481985649101,31.5901399634031,1.90393854033279e-08,1.27109052439884e-05
"Bra018386",-3.03580679910592,4.28265242152638,31.1729408421728,2.36033374829231e-08,1.53319625152588e-05
"Bra004810",-2.76319118463185,8.74862830080214,31.1184570659475,2.4275214774914e-08,1.53534345236917e-05
"Bra040840",3.70874565994129,3.37573458938509,30.205141325086,3.88677755546233e-08,2.37435356816414e-05
"Bra024269",8.49358612069008,2.78695941475802,30.173034355415,3.95165776510633e-08,2.37435356816414e-05
"Bra040801",-1.74734024917362,5.0707031674531,30.0149137324779,4.28736165273332e-08,2.51323048687299e-05
"Bra006092",7.13481422716953,4.15096245164208,29.9289910610991,4.48161534800073e-08,2.51488479547014e-05
"Bra022378",-3.29607719549006,2.68100365367809,29.9011577264929,4.54641283243938e-08,2.51488479547014e-05
"Bra017219",-2.9798766955019,7.61148569080383,29.8767111253521,4.60409965052368e-08,2.51488479547014e-05
"Bra032375",3.47204612388849,3.62802080423973,29.6037748929537,5.30016183235011e-08,2.83075754397117e-05
"Bra024197",-2.49415064729946,4.74538385917997,29.0870112295887,6.91993723240449e-08,3.59060866754125e-05
"Bra021506",1.89546416231768,7.05376947168776,29.0334161991103,7.11404990609216e-08,3.59060866754125e-05
"Bra023827",-2.90348696947644,3.34014660945868,29.0179541678414,7.17105833577349e-08,3.59060866754125e-05
"Bra013676_Bra013677",-2.85552196987577,4.59477980844224,28.9244358903643,7.52574979306814e-08,3.67512781072833e-05
"Bra036155",3.95787663425263,7.08621550303148,28.8938102325149,7.64568488542967e-08,3.67512781072833e-05
"Bra036852",4.94985101051827,3.17148224495008,28.6188382872027,8.81207092394481e-08,4.14787795335895e-05
"Bra014819",3.02774692823564,6.69860023170791,28.5835022774116,8.9743552290366e-08,4.14787795335895e-05
"Bra005071",-3.31644098845849,3.20593881196958,28.5151005726913,9.29705595290862e-08,4.21595175041898e-05
"Bra013682",-3.7146042066041,2.31714683496541,28.4461637128475,9.63404760909359e-08,4.28786481920288e-05
"Bra037283",-2.92446832122936,5.48396319111057,28.2134891122336,1.08644765307782e-07,4.73359714844793e-05
"Bra013628",-2.15182916721666,4.69393290941835,28.1843221601875,1.10294349801566e-07,4.73359714844793e-05
"Bra011606",-2.1568656008896,6.17452520791789,27.9092393030282,1.27141211506093e-07,5.35327136033057e-05
"Bra016610",-3.99436016924848,2.09450341845739,27.8783427550429,1.29187708620776e-07,5.35327136033057e-05
"Bra004130",-2.45233789530807,3.15080557117941,27.1650479125499,1.86805508521504e-07,7.60963320645055e-05
