"","logFC","logCPM","LR","PValue","FDR"
"Bra010275",1.10294729607859,1.59980685511692,10.4986108619087,0.00119464324570806,0.00312529180008136
"Bra031682",0.638434862414413,4.9928978265478,10.4978088694682,0.00119516188499518,0.00312630830909602
"Bra033019",3.12184970682033,2.10270003640195,10.4972524128336,0.00119552187297635,0.00312657062914361
"Bra011451",-0.526919377888986,6.83746304330665,10.4972516806003,0.00119552234675168,0.00312657062914361
"Bra040666",1.30426308205903,1.74196466090482,10.4970392732977,0.00119565978820021,0.00312658985416209
"Bra013370",0.53408184318734,5.49558294079169,10.4951787707227,0.00119686433888525,0.00312939920809053
"Bra024638",-1.06314365831683,2.3908516291671,10.4911001927142,0.00119950924292773,0.00313597358256555
"Bra025685",1.11675311874328,1.63486692034642,10.490684863279,0.00119977891016866,0.00313633742951856
"Bra024413",-0.574435205691684,7.35551201165781,10.4874401903257,0.00120188774092748,0.00314132991394163
"Bra025167",0.515385691736981,5.32820705653158,10.4873442558009,0.00120195014931377,0.00314132991394163
"Bra038208",0.526755641403374,5.24240213310072,10.4831242726276,0.00120469862641481,0.00314817079343846
"Bra002407",0.579809182984269,3.96901211993415,10.4799396391296,0.001206776989663,0.00315325920521423
"Bra020487",-1.0344012815714,1.70404871226582,10.4743805234564,0.00121041369197412,0.00316241794465768
"Bra012773",2.45964232540834,2.05563195636815,10.4726188496683,0.00121156846891577,0.00316509093281758
"Bra028552",-0.768071039647072,3.16682010571952,10.472341433582,0.00121175041669761,0.00316522220572876
"Bra010177",0.587679909777003,3.98086804786488,10.4697296053686,0.00121346478221578,0.00316935585478962
"Bra003840",1.04165126836405,9.52570049318948,10.4643983515406,0.00121697176052437,0.00317817008502039
"Bra003882",0.585098297705683,6.32437067159426,10.4499979721253,0.00122649589998494,0.00320269474796153
"Bra030089",-0.892845371745955,2.42898512610159,10.4456051221238,0.00122941623589617,0.00320997173422364
"Bra011200",-0.920353979640797,1.7727416000744,10.4450037863619,0.00122981654687909,0.0032106681390063
"Bra009322",-0.454956887111404,5.67871065309274,10.4413387565919,0.00123225922148687,0.00321669578898833
"Bra031752",-0.518090682855547,5.55340073580303,10.4368493259197,0.00123525803578096,0.00322417372197649
"Bra002383",-0.890735909204776,2.78943274810463,10.4354969840928,0.00123616280894705,0.00322618492238391
"Bra027911",0.733088315516882,3.92869179992369,10.4288752602106,0.00124060270986125,0.00323742079574434
"Bra030590",-0.520615655025245,4.94167634511463,10.4274685261249,0.00124154800895605,0.00323953586442838
"Bra009583",0.712001135916028,9.4298166834005,10.426273965915,0.00124235130344977,0.00324127998557443
"Bra019507",0.963520666942921,2.55336956544481,10.4257542351218,0.0012427009660365,0.00324184033623372
"Bra033245",0.672702925241357,4.04814593886945,10.4253150233662,0.00124299653496337,0.00324225946617209
"Bra001921",-1.82003034852267,7.26791717796049,10.4250572316152,0.00124317004986154,0.00324236017128294
"Bra024989",0.471420657108615,5.83437078916288,10.4229453477447,0.00124459244341647,0.00324571775011625
