"","logFC","logCPM","LR","PValue","FDR"
"Bra006815",-0.502732594381559,1.56429518958062,1.50463776965336,0.21995914197343,0.553270331573984
"Bra016951",0.279962515498774,3.54740446495854,1.50442297597618,0.219992067024742,0.553295242661431
"Bra036540",0.26822542231451,6.23442874206039,1.50362499749428,0.220114438224061,0.55350574956162
"Bra040511",-0.423927237465271,1.60174430704195,1.50357684221203,0.220121825510109,0.55350574956162
"Bra035189",0.215423812368863,4.31869346891368,1.5033397800434,0.220158196473142,0.553539292189088
"Bra036625",0.28140317942801,3.23072477401418,1.50278794976245,0.220242888145889,0.553652133222552
"Bra012708",-0.341006772154229,1.59402283659305,1.50274716598692,0.220249148944862,0.553652133222552
"Bra039710",0.446795474560066,2.2877303238823,1.50136278798227,0.220461793751105,0.554128712718475
"Bra015036",-0.164333638721181,5.12196350751654,1.50092716645467,0.22052875732031,0.554239062369165
"Bra006618",-0.219370662024706,4.24304188805703,1.50063016925224,0.220574425547696,0.554247609287793
"Bra002770",-0.259208369405484,2.82417916063013,1.50060510534406,0.220578280054828,0.554247609287793
"Bra021498",0.175761977397123,6.19436391402153,1.49874162891207,0.220865084418311,0.554888542965652
"Bra033775",-0.294574062190025,5.23096564104137,1.49864782904964,0.220879532768261,0.554888542965652
"Bra027387",-0.210600554710916,7.60665902259256,1.49823068481903,0.220943800768779,0.554991984497997
"Bra031044",0.211698142713789,4.19174336733044,1.4979975541306,0.220979728162768,0.55502422266318
"Bra002531",0.454840467957855,2.26080564521919,1.4977850204968,0.22101248746378,0.555048497774763
"Bra004804",0.17618287393302,5.91917372146009,1.49759525177621,0.221041742755323,0.555063968799647
"Bra001401",-0.180042223031036,5.32807185361024,1.49701159757946,0.221131749585599,0.55523197550567
"Bra010776",-0.247540875331401,6.57177100950763,1.49600879635153,0.221286496514608,0.555562483780642
"Bra027513",0.24087078321329,3.22068214248659,1.49566730025288,0.221339223922452,0.555636819276395
"Bra014865",-0.169783822898968,5.61021439037708,1.495351610636,0.221387980142883,0.555680799984407
"Bra010259",-0.229271553504447,4.34300124772994,1.49525447326934,0.221402984965078,0.555680799984407
"Bra033559",0.239085888944479,3.47269617413533,1.49420346511043,0.22156541213382,0.555983695831286
"Bra010122",0.393744231841867,2.12862832445717,1.49406985319459,0.221586071283564,0.555983695831286
"Bra038595",-0.375313102361661,2.62089929234734,1.4940245986821,0.221593069084126,0.555983695831286
"Bra033872",-0.219488684745163,7.04754828782581,1.49354080960142,0.221667894928365,0.556112182086202
"Bra016743",0.494502695206777,3.05691096629506,1.49319954090357,0.221720695858495,0.556112182086202
"Bra009539",0.222638029581407,7.51003318323885,1.49292188821311,0.221763665250066,0.556112182086202
"Bra032660",-0.333990544928298,2.58105544628091,1.4928676746532,0.221772056475893,0.556112182086202
"Bra038567",0.542768475895867,2.60176960950424,1.49286387292647,0.221772644924986,0.556112182086202
"Bra025198",0.323311280151392,3.04680897496611,1.49279626453065,0.221783109981536,0.556112182086202
"Bra040782",0.179452930036767,5.75382738271102,1.49242731184022,0.221840230321618,0.55619738113392
"Bra035646",-0.222694450068309,4.12976723746656,1.49196766660977,0.221911416078517,0.556317823514246
"Bra013114",-0.444381152366724,1.72890311234837,1.49111985420121,0.222042789416346,0.556553925097752
"Bra012970_Bra012971",0.330861706286362,4.67305724248214,1.49085350959231,0.222084080230984,0.556553925097752
"Bra005350",0.342779956852358,2.16136626261329,1.49064716363842,0.22211607590353,0.556553925097752
"Bra009528",-0.386859776346957,2.12412474799504,1.49063097572482,0.222118586208768,0.556553925097752
"Bra033381",0.192536722671643,4.73560753840495,1.49061295928313,0.222121380108914,0.556553925097752
"Bra005779",-0.24664871447057,7.32318647471928,1.48995540565506,0.222223379036808,0.556692073416975
"Bra036356",0.581869727146883,1.74921199743904,1.48971976867863,0.222259944402672,0.556692073416975
"Bra014526",0.334410976243338,1.99515609386521,1.48942802836978,0.222305225674504,0.556692073416975
"Bra018620",0.222491315859918,5.66986428128719,1.489409111647,0.222308162136943,0.556692073416975
"Bra009219",0.226141535488132,5.05545848061615,1.48930008841779,0.222325086830335,0.556692073416975
"Bra025844",-0.289390836495089,4.20888231306671,1.48924928811285,0.222332973562482,0.556692073416975
"Bra033415",-0.26114123635958,5.85439243893966,1.48921269974068,0.222338654103751,0.556692073416975
"Bra016498",0.459977985247648,4.07040337066878,1.48902281932464,0.222368136848095,0.55670789593824
"Bra009208",0.190845259144031,4.65911195982652,1.48871712075447,0.22241561251602,0.556745495694127
"Bra023265",0.287615499449126,3.62947488998931,1.48862780785371,0.22242948529812,0.556745495694127
"Bra029176",0.343400373161195,2.17086187289893,1.48840035987722,0.222464818983985,0.556775951209111
"Bra024082",0.299890317547221,2.5686105698214,1.48821072675183,0.222494283328042,0.556791712360075
"Bra029472",0.484227307299434,1.40475883130785,1.48800822491635,0.222525752312109,0.556812486316422
"Bra026087",0.390546816109961,5.14267418981536,1.48729944650763,0.222635939140982,0.556962180151359
"Bra031602",-0.219102110298901,7.11079535728374,1.48716689862271,0.222656552309617,0.556962180151359
"Bra029846",0.346660588932086,2.46712840524147,1.48690413222621,0.222697423149497,0.556962180151359
"Bra023221",-0.349754458431109,2.23042897261305,1.48672553714799,0.222725207059956,0.556962180151359
"Bra034421",0.272102273849044,3.01087354521563,1.48672118732648,0.222725883810391,0.556962180151359
"Bra033248",-0.269393240874284,4.44107194787592,1.48669828816913,0.222729446529281,0.556962180151359
"Bra010415",0.390636604988007,1.4288905264786,1.48658036930833,0.222747793776103,0.556962180151359
"Bra000577",-0.231814324739005,3.51961040500682,1.48599848145083,0.222838357448337,0.557000482027867
"Bra040496",0.297088929201392,9.61586421401944,1.48598506441958,0.222840446163796,0.557000482027867
"Bra032747",0.503531744352972,2.92518631705285,1.48588654978435,0.222855783288005,0.557000482027867
"Bra006963",0.25064323821676,5.19231735262772,1.48588635211884,0.222855814062577,0.557000482027867
"Bra029680",-0.372189790053638,2.74941519797873,1.48562359335068,0.222896727511843,0.557024443801806
"Bra013307",-0.346664022005097,2.87512785059711,1.48552136951986,0.222912646935092,0.557024443801806
"Bra040592",-0.216567977215093,7.98159374575112,1.48537829271847,0.222934930720212,0.557024443801806
"Bra034293",0.17222640219722,6.0671851990873,1.48500858740946,0.222992523572338,0.557110427394759
"Bra007109",-0.322769169338505,9.20342200487813,1.48436338203891,0.22309307662895,0.557303711017585
"Bra010696",-0.213502713777929,6.22948865603069,1.48276751535896,0.223342020372841,0.557844765492231
"Bra029673",0.249900173015829,3.97094074935743,1.48267740855682,0.223356086308219,0.557844765492231
"Bra022215",0.320867548874341,2.44526417134727,1.48241718734742,0.223396713557959,0.5578882599389
"Bra037111",-0.326335500950347,2.61602632284567,1.48160412153662,0.223523711179909,0.558141569145464
"Bra029469",-0.502707534882395,1.99640954157727,1.48144337482693,0.223548829411213,0.558141569145464
"Bra023398",0.326578718668821,3.87256459195133,1.48132188350845,0.223567815851019,0.558141569145464
"Bra003173",0.228735767214766,3.94045560942837,1.4806057334866,0.223679773728458,0.558363074552322
"Bra004382",-0.189561386642667,5.76598502863284,1.47955642519104,0.223843936590274,0.558678451335806
"Bra000604",0.186407483982589,6.0934142394393,1.47939154191244,0.223869745479938,0.558678451335806
"Bra004245",0.232130147133666,3.69755499662728,1.47935254950706,0.223875849413961,0.558678451335806
"Bra026489",0.209634388697237,6.40096412725737,1.47907601061988,0.223919144981096,0.558728481154034
"Bra001031",-0.516831537021742,2.39690141533804,1.47806195178233,0.22407799426712,0.55904142815377
"Bra020747",0.602984547540345,2.57311295779253,1.47778431870986,0.22412150820741,0.55904142815377
"Bra011126",0.332355098577878,2.36592464598469,1.47778335168362,0.224121659788906,0.55904142815377
"Bra021163",-0.461661215913244,1.61620353084297,1.47768163148788,0.224137605129805,0.55904142815377
"Bra002875",0.336182028621908,2.13561962610539,1.47711632823164,0.224226245089237,0.559175380349825
"Bra029744",-0.215271107175303,3.94493362829062,1.47690269814577,0.224259753381498,0.559175380349825
"Bra011208",0.313058106753185,8.15369040112225,1.47689405695439,0.224261108895397,0.559175380349825
"Bra010486",0.236805466560915,3.91991612930648,1.4765837459834,0.224309792817837,0.559206247867397
"Bra008581",0.212837542663566,5.08097367225731,1.47651854837092,0.224320023120977,0.559206247867397
"Bra013551",-0.439179761376044,1.40417600887547,1.47618297556872,0.224372687449509,0.559279523974434
"Bra016201",0.286014690726154,3.02212421523483,1.47551981252308,0.224476806935985,0.559382795222527
"Bra010559",-0.171270059360662,5.06464198620971,1.47551890505045,0.224476949452824,0.559382795222527
"Bra036568",0.225746728424739,4.43956585539342,1.47547438157751,0.224483941912344,0.559382795222527
"Bra002411",-0.246752305582259,7.00547445868875,1.47469662584941,0.224606131429755,0.559525248062713
