Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
IMB211_NDP_3_PETIOLE	0.8983817229890434	46.0	88.49595430747263	94	9.090909090909092	16808.0
IMB211_NDP_3_SILIQUE	0.4171200580340866	46.0	88.23993471164309	94	9.090909090909092	11028.0
R500_DP_1_INTERNODE	0.4099888184867666	46.0	88.77686669151447	94	9.090909090909092	16098.0
R500_DP_1_LEAF	4.772872154475721	46.0	88.28098459766805	94	9.090909090909092	48629.0
R500_DP_1_PETIOLE	0.6873652938777894	46.0	88.61711423079163	94	9.090909090909092	17167.0
R500_DP_1_SILIQUE	0.8257313620635358	46.0	88.58666247247562	94	9.090909090909092	12716.0
R500_DP_2_INTERNODE	0.38084874863983487	46.0	87.79542981501632	94	9.090909090909092	11028.0
R500_DP_2_LEAF	0.4110612855007503	46.0	88.39312406576981	94	9.090909090909092	16056.0
R500_DP_2_PETIOLE	0.6152732537097307	46.0	88.84111473036555	94	9.090909090909092	11052.0
R500_DP_2_SILIQUE	1.4647935583347618	46.0	87.85454856947062	94	9.090909090909092	11674.0
R500_DP_3_INTERNODE	1.2826316583672792	46.0	88.45435340274634	94	9.090909090909092	13254.0
R500_DP_3_LEAF	0.4505441186663859	46.0	88.34352256186317	94	9.090909090909092	14427.0
R500_DP_3_PETIOLE	1.521963752129352	46.0	88.34622580915412	94	9.090909090909092	35809.0
R500_DP_3_SILIQUE	1.5254055215382891	46.0	88.1696207970781	94	9.090909090909092	18618.0
R500_FRUIT_1_FIELD	0.7913007964059631	46.0	88.6903206044517	94	9.090909090909092	19588.0
R500_FRUIT_2_FIELD	3.7873270211216266	46.0	88.5479485311969	94	9.090909090909092	16476.0
R500_FRUIT_3_FIELD	0.47540683854452936	46.0	89.10696653867252	94	9.090909090909092	10938.0
R500_LEAF_1_FIELD	0.8269069961906581	46.0	87.99238130632723	94	9.090909090909092	10763.0
R500_LEAF_2_FIELD	0.8139718666034526	46.0	88.58400505768927	94	9.090909090909092	12654.0
R500_LEAF_3_FIELD	1.374009128032668	46.0	88.65933221234687	94	9.090909090909092	20815.0
R500_NDP_1_INTERNODE	0.37453183520599964	46.0	88.99084477736163	94	9.090909090909092	9612.0
R500_NDP_1_LEAF	0.0	43.0	94.0	94	27.27272727272727	4.0
R500_NDP_1_PETIOLE	0.8095217258128002	46.0	88.78562989541854	94	9.090909090909092	22853.0
R500_NDP_1_SILIQUE	0.8840991223541579	46.0	88.35673722250904	94	9.090909090909092	15496.0
R500_NDP_2_INTERNODE	0.32130357450226654	46.0	88.80004590051064	94	9.090909090909092	17429.0
R500_NDP_2_LEAF	0.0	44.0	79.0	79	27.27272727272727	1.0
R500_NDP_2_PETIOLE	0.2748585286984593	45.0	88.72109943411479	94	9.090909090909092	6185.0
R500_NDP_2_SILIQUE	0.6307781201848996	45.0	88.90292758089369	94	9.090909090909092	20768.0
R500_NDP_3_INTERNODE	0.44552133812725003	45.0	88.22901360012506	94	9.090909090909092	12794.0
R500_NDP_3_LEAF	0.0	58.0	92.0	92	27.27272727272727	1.0
R500_NDP_3_PETIOLE	0.883335985993952	46.0	87.83001750756009	94	9.090909090909092	12566.0
R500_NDP_3_SILIQUE	0.9154105581939547	46.0	88.65579186454677	94	9.090909090909092	14529.0
unmatched	2.342818197307892	46.0	93.5170216391208	100	9.090909090909092	58690.0
